인공지능(AI) 등 혁신의료기술 '급여적용 기준' 확정
"쿨사인, 자체 개발 인공지능 시스템 기반 AI Edge 출시"
"KT 인공지능, 국제의료영상처리학회 개최 '국제 의료 AI 경진대회' 1위 수상"
인공지능(AI) 등 혁신의료기술 '급여적용 기준' 확정
"[브레인셀럽] 인공지능의 미래, 축복일까 재앙일까"
"목암생명과학연구소, 신현진 부소장 취임...""제약과 인공지능 융합"""
"""인공지능 알고리즘 이제 그만"" 카카오, Daum 뉴스 구독 전환"
"광주시, 국가 인공지능 집적단지 착공"
"지미션, '2021 OCR 인공지능 학습데이터 해커톤' 접수 연장"
"광주시, '인공지능 혁신거점' 첨단에 국가 AI집적단지 본격 착공"
"동부권 ICT이노베이션스퀘어, ‘전국 인공지능 문제해결 아이디어 공모 왕중왕..."
"동부권 ICT이노베이션스퀘어, ‘전국 인공지능 문제해결 아이디어 공모 왕중왕..."
'인공지능 뱅커' 시대 성큼···일자리 감소 신호탄?
한강공원 자전거족 안전 위해 ‘인공지능 CCTV’ 설치
"사람 대신 인공지능이…GS25, 업계 최초 무인 편의점 방범 시스템 상용화"
"광주인공지능사관학교 교육생, 인공지능 공모전... '대상' 수상"
"중기부, 'K-인공지능 제조데이터 경진대회' 과제 공개"
"KT 의료 인공지능 기술, 국제 의료 경진대회서 1위 수상"
"KT, 인공지능 기술로 국제 의료 AI 경진대회 1위"
중앙대학교 인공지능대학원 개원식
"軍, 지뢰 제거에 인공지능 활용...개발 지원 위한 '실증랩' 개소"
"軍, 지뢰 제거에 인공지능 활용...개발 지원 위한 '실증랩' 개소"
자율점검부터 윤리기준까지…‘인공지능 신뢰성 확보’ 공개 세미나
"국민대-NH농협, '인공지능활용' 교육과정 수료식 개최"
[과학게시판] 중앙대 인공지능대학원 개원식 등
"광주인공지능사관학교 교육생, 인공지능 공모전 '대상'"
[브레인 북스] 인공지능은 무엇이 되려 하는가
"유네스코, 인공지능 기술이 '전례 없는 도전' 불러온다 경고...193개국 권고안..."
"최초의 '세계적 AI 표준' 지침 마련됐다!... 유네스코, '인공지능 윤리 권고..."
감염병 확산 추세 분석 인공지능 개발 착수…3년간 144억 투입
인공지능이 CCTV 영상 속 쓰러진 사람 실시간 탐지한다
"[포토]'인공지능, 메타버스와 미래 세상'"
"SKC&C, 인공지능 기반 뇌출혈 진단 소프트웨어를 미국학회에서 알려"
"국립생태원 ‘인공지능, 수리모델 그리고 미래생태학’ 제작"
[트렌드] 노후한 창고에 인공지능 입히니 기업 맞춤 첨단물류센터로 변신
"영남이공대, 차세대 인공지능 반도체 산업현장 탐방"
[브레인셀럽클래스] 4차 산업혁명시대의 인공지능과 메타버스
"창원시, 캐나다 워털루대학에 인공지능 연구거점 마련"
"서울대병원, 인공지능(AI) 위암 진단 모델 개발…위내시경으로 실시간 병변 탐..."
대전시민 안전 지키는 인공지능 '딥뷰'
"GC녹십자 목암생명과학연구소 부소장에 신현진, ""인공지능과 융합"""
"GC녹십자 목암생명과학연구소 부소장에 신현진, ""인공지능과 융합"""
"광주인공지능사관학교 교육생, 인공지능 공모전 ‘대상’"
"마인즈랩, 메가존 클라우드와 인공지능 플랫폼 구축 공동사업 MOU 체결"
"GS25, 무인점포 방범에 인공지능카메라 활용한 시스템 상용화 추진"
"동서울대 전자공학과, '인공지능 학술대회' 우수논문상"
"첨단3지구, 광주 인공지능 집적단지 '첫 삽'떴다"
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
창원대 한국제조데이터인공지능학회 창립
"영남이공대, 차세대 인공지능 반도체 산업현장 탐방"
AI 반도체 기술 한눈에...'2021 인공지능반도체 미래기술 컨퍼런스' 개최
인공지능으로 지뢰제거작전 정확도·안정성 높인다
중소 제조 현장 고민 인공지능 활용해 해결한다
"LG CNS, 2022년 정기임원인사...인공지능, 클라우드, 빅데이터 등 디지털전환..."
"NH농협은행 인공지능 은행원을 정식직원으로 채용, ""MZ세대와 소통"""
CCTV 속 쓰러진 사람 '시각인공지능'이 탐지해낸다
"KT 인공지능 기술, 국제 의료 AI 경진대회서 1위 수상"
[리포트] 광주 인공지능집적단지 첫 삽…오는 2023년 완공 예정
"인공지능 채용, 어떻게 대응하나!... 인크루트, AI채용 대비 유튜브 라이브 취..."
"영남이공대, 차세대 인공지능 반도체 산업현장 탐방"
"NEC, 의사결정을 인공지능으로 자동화하는 최적화 기술 서비스 제공...기업 디..."
인공지능과 로봇으로 '바빌론 공중정원' 만든다
"고객 상담도 인공지능이 척척, AI컨택센터 오픈"
인공지능 카메라가 편의점 방범에 나섰다!...신설되는 모든 GS25 무인 편의점...
"영남이공대, 차세대 인공지능 반도체 산업현장 탐방"
‘인공지능기술’ 컨퍼런스 다음 달 광주서
대한민국 인공지능(AI) 혁신거점 산업융합 집적단지 광주 착공
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"숭실대, 스마트 농업 인공지능 경진대회 최우수상...우수상도 2팀"
지뢰 탐지에 인공지능 적용한다…유해 발굴에도 도움
국가 인공지능 집적단지 착공식 참석하는 임혜숙 장관
"한국인공지능검증원 “국내 최초, AI 성능 검증 민간 기관…AI 생태계 활성화..."
진천 인공지능 영재페스티벌 성료
"동북권 ICT이노베이션스퀘어, ‘전국 인공지능 문제해결 아이디어 공모 왕중왕..."
대한민국 인공지능 혁신 거점으로 도약한다!...광주 인공지능 집적단지 착공식...
"창원시, 캐나다 워털루大에 인공지능 연구거점 마련"
대한민국 인공지능 생태계의 핵심 거점 조성 본격화한다
중소 제조 현장의 고민을 인공지능으로 해결한다
인간과 인공지능이 함께 작곡한 영화 음악은
"인공지능 3D 플랫폼 기업 아키드로우, 현대백화점과 메타버스 프로젝트"
軍 인공지능 활용해 지뢰 제거한다…유해발굴도 기대
미래엔 지뢰도 인공지능으로 발견해 제거
[KIDA논단] 인공지능 기반 정신건강 서비스의 최근 동향 및 시사점
"과기정통부, 9번째로 중앙대 인공지능 대학원 개원"
인공지능이 태화강 정원을 그린다면?
청도 남성현초 인공지능 체험교육 실시
"광주시, 인공지능(AI) 집적단지 첫 삽…AI 생태계 구현 본격화"
심장병 진단에서 치료까지...심장 전문의에 도전하는 인공지능
"광주광역시, 대한민국 인공지능 혁신거점 국가 인공지능 집적단지 착공식 개최"
차세대 인공지능 연구개발에 5년간 3천18억원 투입
"서부발전, 발전소에 특화된 인공지능 기반 보안기술 개발 나서"
인공지능(AI) 활용해 폐플라스틱 분류기술 선도한다
성균관대-철도기술硏 '철도인공지능 융합연구' 업무협약
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위 수상"
"전문의 수준으로 진화한 인공지능!, 조기 위암부터 위암병변탐지·위암진단, ..."
4차 산업혁명 핵심 인공지능 AI
"KT 인공지능 기술, 국제 의료 AI 경진대회 1위"
체계적인 인공지능 교육 통해 미래사회 리더로 성장시키다
[사설]국가 인공지능 집적단지 이제부터 시작이다
"서울교육청, '인공지능 튜터' 마중물학교 8개 더 늘린다"
중앙대학교 인공지능 대학원 개원… 박사급 AI 인재 양성 추진
"미래 꿈나무 위한, KT 인공지능 코딩 경진대회 개최...광주 일곡초등학교 임도..."
충북혁신도시서 '인공지능 영재페스티벌' 개최
[새책] 인공지능이 열어가는 메타버스와 미래세상으로의 여행 - 인공지능이 바...
"KT, 국제 의료 인공지능 경진대회서 1위 차지"
"길거리에서 쓰러진 사람, 인공지능이 찾아내는 기술 개발"
"성균관대, 'AI×북커톤' 백일장...이젠 '글쓰기'도 인간과 겨루는 인공지능"
"블랙야크·카카오엔터, 인공지능 물류시스템 업무협약"
[종합]인공지능 인재양성 초석될 '광주AI교육연구원' 설립 재추진
중앙대 인공지능 대학원 개원…국내 9번째
위안부 피해 ‘영원한 증언’과 인공지능이 만났다
"진천군, 인공지능 영재페스티벌 개최"
광주광역시 '인공지능 집적단지' 착공… 인공지능 생태계 핵심거점 조성 본격...
인공지능이 그린 그림은 어떤 모습일까
"KT 인공지능 기술, 의료 인공지능 영역 글로벌 최고 권위 학회 MICCAI 경진대..."
"영화음악도 인공지능으로…""작곡가는 이제 AI와 공존"""
"한컴인텔리전스, 인공지능·사물인터넷 분야 기술 입증... 'WITSA 글로벌 ICT..."
"뷰노, 인공지능 솔루션으로 결핵 퇴치 힘 싣는다"
인공지능 이용 위암 진단 모델 개발…위암 병변 탐지·위암 진단 등
"슈나이더 일렉트릭, 데이터 분석 위한 글로벌 인공지능 허브 신설"
"삼성전자, 인공지능 공기청정기 '비스포크 큐브 에어' 출시"
"진천군, 인공지능 글로벌 인재 육성 박차"
"삼성전자, 인공지능 공기청정기 '비스포크 큐브 에어' 출시"
"군, 인공지능 활용해 지뢰 제거···유해발굴에도 활용"
"한국교육평가진흥원, '2021년 인공지능 드론 전문가 추계 워크숍' 참가"
"아카AI, 인공지능 로봇 '뮤지오'와 소프트뱅크 '페퍼' 국내 도입 기관 100개 ..."
"클래스팅, 인천시교육청과 인공지능 수학 학습 플랫폼 제공한다"
"'치매 노인 돌보는 AI' 영동군, 인공지능 비대면 돌봄 서비스"
'인공지능 집적단지 착공식'
"중앙대학교, 인공지능(AI) 대학원 개원...AI 특화 교육·연구 및 인공지능 확..."
"""개발자들과 함께 기술로 새로운 세상을 열어갈 것""... DEVIEW 2021 개막, 인..."
"""개발자들과 함께 기술로 새로운 세상을 열어갈 것""... DEVIEW 2021 개막, 인..."
"숙박B2B 스타트업 온다, 페르소나AI'와 인공지능 기반 숙박예약 및 비대면 기..."
"영남이공대학교, 차세대 인공지능 반도체 산업현장 탐방"
"슈나이더, 글로벌 인공지능(AI) 허브 신설…AI·데이터 전략 강화"
"[2021 뉴테크놀로지포럼] 이정수 플리토 대표 ""언어 인공지능 발전 위해 힘 합..."
"과기정통부·국방부, 지뢰 찾는 인공지능 개발한다"
[World & Now] '더 착한 인공지능'을 외치는 목소리
"크레스콤, 인공지능 성장판 분석 솔루션 국제 학술지 게재"
"NS홈쇼핑, 업계 최초 인공지능 성우 도입"
"슈나이더 일렉트릭, 글로벌 인공지능 허브 신설...에너지·자동화 분야 디지털..."
"경찰청, 삼성전자와 보이스피싱 방지 위한 인공지능 솔루션 개발한다"
"아크릴, 2021 디지털 대전환 엑스포서 통합 인공지능 플랫폼 '조나단' 선보여"
인공지능이 초래할 금융사고 대규모 보안투자로 방어해야
"마인즈랩, 메가존 클라우드와 인공지능 플랫폼 구축 사업 공동 추진한다"
"KISTI·대전시, 데이터·인공지능 기반 지능형도시 구축 협약"
"아쎄따, 2021 디지털 대전환 엑스포서 인공지능 녹조·적조 탐지 드론 전시"
전남 장성에 실증랩 개소..지뢰제거 작전에 인공지능 쓴다
인공지능 신뢰성 확보 정책 대국민 의견 수렴
인공지능이 CCTV 속 쓰러진 사람 실시간 탐지
"[충북 국가혁신클러스터 입주기업 특집] 제이엘케이, 전문성 기반으로 지..."
"[충북 국가혁신클러스터 입주기업 특집] 제이엘케이, 전문성 기반으로 지..."
스몰데이터에 기반한 '녹색인공지능'… 중국의 AI에 대한 인문학적 성찰 [김유...
요르단 「인공지능 방어기술 및 사이버보안 전시회(AIDTSEC)」 참관기
"다비오, 인공지능 기반 공간정보 분석 플랫폼 '어스아이(Eartheye)'... CES 2..."
"쌍용정보통신, 공공분야 인공지능 사업 본격 추진"
"고려대, 의생명 인공지능 국제 대회 'BioCreative VII'에서 1위, 3위"
"모비젠-KDX한국데이터거래소, 인공지능 기반의 데이터 품질평가 MOU 체결"
"전남과학대학교 e스포츠과 - ETRI(한국전자통신연구원), 인공지능 AI기술 개발..."
"광주시, 재난안전산업 컨퍼런스 개최... '인공지능 융합산업 진화 대응전략' ..."
“강원발 인공지능 의료협력이 시작된다”
인공지능으로 땅속 83만발 지뢰제거…67억 투입
중소제조현장 고민 AI로 해결한다!... 케이(K)-인공지능 제조데이터 경진대회...
"최혜원 이화여대 교수 연구팀, '인공지능 학습용 데이터 구축사업' 선정"
"중앙대, 9번째 인공지능대학원 개원... AI 창의·개방·혁신·윤리 역량 갖춘..."
"AICON 광주 2021, 내달 16일 열려….산업융합 과정 인공지능 역할 및 방향 제..."
"중앙대, SW 교육성과 공유 '2021 다빈치 소프트웨어·인공지능 테크페어' 성료"
"강릉아산병원, 인공지능 기반 폐암·유방암 조기진단 시스템도입"
"창원시, 인공지능 재활용품 자동수거기 설치"
"성균관대, 인공지능 대학 백일장 'AI×북커톤' 개최"
의료 인공지능 산업화 최적지 강원도가 뜬다
"보령시, 대천해수욕장 '인공지능 방역 로봇' 시범 운영"
인공지능 학습은 개인정보 처리인가 혹은 통계처리인가 [알아야 보이는 법(法...
"신테카바이오, 인공지능 활용 신약개발 착수 소식에 강세"
인공지능 우리말 실력 어디까지 왔나
"디지털 치료기기, 영상의학 분야 인공지능(AI) 의료기기 등 별도 등재 방안 적..."
"서울대 공대 이종호 교수 연구팀, 인공지능이 MRI용 전자파 파형 스스로 설계..."
[영어로 바라보는 세상] 인공지능 뛰어넘을 단 하나의 열쇠는 '마음'
"캐롯손해보험, 중대사고 자동인지해 긴급출동 인공지능서비스 도입"
"3D프린팅·인공지능 기반 의료기술 스타트업 '애니메디솔루션', 과기정통부 장..."
인공지능 핵심원천 기술개발 사업 설명회…5년간 3018억원 투입
쓰러진 사람 인식하는 인공지능 CCTV
"네이버 D2SF, 인공지능 챗봇 스타트업 '튜닙' 신규 투자"
